poi_count,tag,,,Row Labels,Sum of tag
1,4768,,,1-10,5666
2,167,,,11-20,642
3,127,,,21-30,320
4,109,,,31-40,105
5,171,,,41-50,66
6,89,,,51-60,45
7,62,,,61-70,30
8,53,,,71-80,24
9,45,,,81-90,12
10,75,,,91-100,22
11,57,,,>101,426
12,39,,,Grand Total,7358
13,39,,,,
14,62,,,,
15,124,,,,
16,68,,,,
17,74,,,,
18,51,,,,
19,75,,,,
20,53,,,,
21,39,,,,
22,38,,,,
23,36,,,,
24,37,,,,
25,31,,,,
26,19,,,,
27,19,,,,
28,19,,,,
29,28,,,,
30,54,,,,
31,18,,,,
32,15,,,,
33,12,,,,
34,7,,,,
35,10,,,,
36,7,,,,
37,9,,,,
38,11,,,,
39,13,,,,
40,3,,,,
41,7,,,,
42,8,,,,
43,4,,,,
44,6,,,,
45,9,,,,
46,4,,,,
47,4,,,,
48,6,,,,
49,9,,,,
50,9,,,,
51,2,,,,
52,3,,,,
53,8,,,,
54,5,,,,
55,7,,,,
56,2,,,,
57,3,,,,
58,3,,,,
59,6,,,,
60,6,,,,
61,6,,,,
62,8,,,,
63,1,,,,
64,6,,,,
65,2,,,,
66,4,,,,
69,2,,,,
70,1,,,,
71,6,,,,
72,1,,,,
73,1,,,,
75,2,,,,
76,4,,,,
77,3,,,,
78,2,,,,
79,1,,,,
80,4,,,,
81,1,,,,
82,3,,,,
84,2,,,,
85,2,,,,
87,1,,,,
89,1,,,,
90,2,,,,
91,4,,,,
92,2,,,,
93,1,,,,
95,1,,,,
97,2,,,,
98,4,,,,
99,3,,,,
100,5,,,,
101,1,,,,
102,2,,,,
103,1,,,,
104,1,,,,
105,7,,,,
107,2,,,,
108,2,,,,
109,2,,,,
110,4,,,,
111,2,,,,
112,1,,,,
114,1,,,,
117,1,,,,
119,2,,,,
121,2,,,,
123,1,,,,
124,1,,,,
125,2,,,,
126,2,,,,
127,2,,,,
129,1,,,,
130,1,,,,
131,1,,,,
132,3,,,,
133,4,,,,
134,1,,,,
135,3,,,,
138,1,,,,
139,3,,,,
141,3,,,,
142,1,,,,
144,1,,,,
146,3,,,,
148,1,,,,
151,2,,,,
152,1,,,,
158,1,,,,
159,2,,,,
161,2,,,,
165,1,,,,
168,1,,,,
169,1,,,,
170,2,,,,
171,1,,,,
173,3,,,,
175,2,,,,
178,1,,,,
179,1,,,,
184,1,,,,
185,1,,,,
186,1,,,,
187,1,,,,
188,1,,,,
189,1,,,,
191,1,,,,
194,1,,,,
199,1,,,,
200,4,,,,
201,2,,,,
203,1,,,,
208,1,,,,
210,1,,,,
211,1,,,,
219,1,,,,
220,1,,,,
221,1,,,,
226,2,,,,
231,1,,,,
233,1,,,,
234,1,,,,
236,1,,,,
242,1,,,,
244,1,,,,
245,2,,,,
252,1,,,,
254,1,,,,
255,2,,,,
256,1,,,,
257,1,,,,
258,1,,,,
259,1,,,,
266,1,,,,
267,1,,,,
268,1,,,,
287,1,,,,
294,1,,,,
299,2,,,,
311,1,,,,
314,1,,,,
317,1,,,,
319,1,,,,
332,1,,,,
333,1,,,,
334,1,,,,
336,1,,,,
338,1,,,,
341,1,,,,
345,1,,,,
347,1,,,,
352,1,,,,
361,1,,,,
372,1,,,,
373,1,,,,
378,1,,,,
379,1,,,,
380,1,,,,
382,1,,,,
385,1,,,,
387,1,,,,
389,1,,,,
390,2,,,,
392,1,,,,
398,1,,,,
399,1,,,,
